citation,doi,doi_num,citations,date.of.entry,type,journal,year_pdf,year_issue,participants_count,group_identifier,evolution_word,culture_word,universal_word,ppt_age_absolute,ppt_age_m_sd,multi_study_paper,countries,countries_info_given,crosscultural,culture_ppt_n,older_ppt
NA,10.1111/cdev.13461,13461,3,13.09.2022,research article,Child Development,2021,"2020, 6",147,yes,no,yes,yes,"2, 3",NA,no,usa,yes,no,119,no
NA,10.1111/cdev.13432,13432,4,13.09.2022,research article,Child Development,2020,"2020, 6",603,yes,no,yes,no,NA,"4.8, 0.02",no,usa,yes,yes,"714, 336",no
NA,10.1111/cdev.13430,13430,6,13.09.2022,research article,Child Development,2020,"2020, 6",312,yes,no,yes,no,"3,4,5,6","52.12, 13.16",no,"australia,china",yes,yes,"48, 55",no
NA,10.1111/cdev.13427,13427,7,13.09.2022,research article,Child Development,2020,"2020, 6",437,no,no,no,no,"2, 3, 4, 5",NA,yes,usa,yes,no,160,no
NA,10.1111/cdev.13423,13423,15,13.09.2022,research article,Child Development,2020,"2020, 6",291,no,no,no,no,"2, 3, 4",NA,no,usa,no,no,100,no
NA,10.1111/cdev.13421,13421,5,13.09.2022,research article,Child Development,2020,"2020, 6",574,no,no,no,no,"0, 1",NA,no,australia,no,no,42,no
NA,10.1111/cdev.13414,13414,1,13.09.2022,research article,Child Development,2020,"2020, 6",598,no,no,no,no,"4, 5",NA,yes,usa,no,no,144,no
NA,10.1111/cdev.13412,13412,5,13.09.2022,research article,Child Development,2020,"2020, 6",318,no,no,no,no,"3, 4",NA,yes,usa,no,no,168,no
NA,10.1111/cdev.13411,13411,8,13.09.2022,research article,Child Development,2020,"2020, 6",200,no,no,yes,no,NA,"9.29, 0.93",no,canada,yes,no,603,yes
NA,10.1111/cdev.13410,13410,6,13.09.2022,research article,Child Development,2020,"2020, 6",612,no,no,no,no,"3, 4, 5",NA,no,usa,no,no,6338,no
NA,10.1111/cdev.13409,13409,16,13.09.2022,research article,Child Development,2020,"2020, 6",199,yes,no,yes,no,"2, 3, 4, 5",NA,no,usa,yes,no,126,no
NA,10.1111/cdev.13404,13404,2,13.09.2022,research article,Child Development,2020,"2020, 5",500,no,no,no,yes,NA,NA,no,usa,yes,no,561,no
NA,10.1111/cdev.13400,13400,3,13.09.2022,research article,Child Development,2020,"2020, 6",401,yes,no,no,no,"6, 7, 8, 9, 10",NA,no,china,yes,no,250,yes
NA,10.1111/cdev.13399,13399,6,13.09.2022,research article,Child Development,2020,"2020, 6",387,no,no,yes,yes,"3, 4, 5",NA,no,usa,no,no,192,no
NA,10.1111/cdev.13397,13397,3,13.09.2022,research article,Child Development,2020,"2020, 6",1039,no,no,no,no,4,NA,no,usa,yes,no,293,no
NA,10.1111/cdev.13396,13396,5,13.09.2022,research article,Child Development,2020,"2020, 6",181,no,no,yes,no,"4, 5, 6",NA,no,usa,no,no,43,no
NA,10.1111/cdev.13395,13395,1,13.09.2022,research article,Child Development,2020,"2020, 5",175,no,no,yes,no,"3, 4",NA,yes,usa,no,no,128,no
NA,10.1111/cdev.13390,13390,12,13.09.2022,research article,Child Development,2020,"2020, 5",911,no,no,yes,no,"5, 6, 7, 8, 9",NA,yes,usa,yes,no,214,no
NA,10.1111/cdev.13389,13389,9,13.09.2022,research article,Child Development,2020,"2020, 6",230,yes,no,no,no,"0, 1, 2, 3",NA,no,usa,yes,no,1055,no
NA,10.1111/cdev.13386,13386,4,13.09.2022,research article,Child Development,2020,"2020, 6",367,no,no,yes,no,"4, 5, 6, 7",NA,yes,canada,yes,no,469,no
NA,10.1111/cdev.13385,13385,4,13.09.2022,research article,Child Development,2020,"2020, 5",377,no,no,no,yes,"3, 4, 5",NA,no,usa,yes,no,107,no
NA,10.1111/cdev.13384,13384,5,13.09.2022,research article,Child Development,2020,"2020, 6",739,yes,no,no,no,"8, 9, 10",NA,no,china,yes,no,88,no
NA,10.1111/cdev.13383,13383,12,13.09.2022,research article,Child Development,2020,"2020, 5",405,yes,no,no,no,"0, 1, 2, 3, 4, 5, 7, 8, 9, 10",NA,no,uk,yes,no,14860,yes
NA,10.1111/cdev.13382,13382,9,13.09.2022,research article,Child Development,2020,"2020, 6",493,yes,no,yes,no,4,NA,no,chile,yes,no,1425,no
NA,10.1111/cdev.13381,13381,3,13.09.2022,research article,Child Development,2020,"2020, 5",544,no,no,yes,no,"7, 9",NA,no,iceland,yes,no,176,yes
NA,10.1111/cdev.13380,13380,12,13.09.2022,research article,Child Development,2020,"2020, 5",124,no,no,no,no,"2, 3, 4, 5",NA,no,usa,no,no,1258,no
NA,10.1111/cdev.13379,13379,13,13.09.2022,research article,Child Development,2020,"2020, 5",238,no,no,no,no,"4, 5, 6, 7, 8, 9, 10",NA,no,canada,no,no,67,no
NA,10.1111/cdev.13369,13369,5,13.09.2022,research article,Child Development,2020,"2020, 3",243,no,no,no,no,"4, 5, 6",NA,no,usa,yes,no,29,no
NA,10.1111/cdev.13368,13368,8,13.09.2022,research article,Child Development,2020,"2020, 5",253,no,yes,yes,no,"0, 1, 3, 4, 5, 6",NA,yes,israel,yes,no,129,no
NA,10.1111/cdev.13367,13367,1,13.09.2022,research article,Child Development,2020,"2020, 6",512,yes,no,no,no,"3, 4, 5, 6, 7, 8, 9, 10",NA,no,usa,yes,no,109,yes
NA,10.1111/cdev.13365,13365,3,13.09.2022,research article,Child Development,2020,"2020, 6",302,no,no,yes,no,"3, 4",NA,no,netherlands,yes,no,472,no
NA,10.1111/cdev.13364,13364,9,13.09.2022,research article,Child Development,2020,"2020, 3",196,yes,no,no,no,"4,7,8,9",NA,no,uk,yes,no,661,yes
NA,10.1111/cdev.13363,13363,7,13.09.2022,research article,Child Development,2020,"2020, 5",221,yes,no,yes,no,"7, 8",NA,no,iran,yes,no,35,yes
NA,10.1111/cdev.13362,13362,4,13.09.2022,research article,Child Development,2020,"2020, 5",185,yes,yes,yes,no,"5, 6, 7, 8, 9, 10",NA,no,australia,yes,no,609,no
NA,10.1111/cdev.13361,13361,5,13.09.2022,research article,Child Development,2020,"2020, 5",191,no,no,yes,no,0,NA,no,uk,yes,no,21,no
NA,10.1111/cdev.13360,13360,4,13.09.2022,research article,Child Development,2020,"2020, 5",370,yes,no,no,no,"9,10",NA,no,china,yes,no,1156,yes
NA,10.1111/cdev.13358,13358,3,13.09.2022,research article,Child Development,2020,"2020, 5",605,no,no,no,no,"3, 4",NA,no,uk,yes,no,175,no
NA,10.1111/cdev.13357,13357,13,13.09.2022,research article,Child Development,2020,"2020, 6",361,yes,no,no,no,"3, 8",NA,no,germany,yes,yes,554,no
NA,10.1111/cdev.13356,13356,3,13.09.2022,research article,Child Development,2020,"2020, 5",362,yes,no,yes,no,3,NA,no,usa,yes,yes,"592, 1018",no
NA,10.1111/cdev.13355,13355,2,13.09.2022,research article,Child Development,2020,"2020, 3",334,no,no,yes,no,"0, 4",NA,no,usa,yes,no,1400,no
NA,10.1111/cdev.13354,13354,8,13.09.2022,research article,Child Development,2020,"2020, 6",349,no,no,no,no,"1,2,3,4,5,6",NA,no,germany,yes,no,239,no
NA,10.1111/cdev.13353,13353,26,13.09.2022,research article,Child Development,2020,"2020, 5",135,yes,no,yes,no,"4, 5, 6",NA,no,chile,yes,no,419,no
NA,10.1111/cdev.13352,13352,6,13.09.2022,research article,Child Development,2020,"2020, 3",174,no,yes,no,no,"6, 7, 8, 9, 10",NA,no,france,yes,no,132,no
NA,10.1111/cdev.13351,13351,9,13.09.2022,research article,Child Development,2020,"2020, 3",426,no,no,no,no,"4, 5, 6",NA,yes,usa,yes,no,89,no
NA,10.1111/cdev.13350,13350,14,13.09.2022,research article,Child Development,2020,"2020, 5",514,yes,no,yes,no,10,NA,no,usa,yes,yes,"33, 20",yes
NA,10.1111/cdev.13349,13349,40,13.09.2022,research article,Child Development,2020,"2020, 5",951,yes,no,yes,yes,"0, 1, 2, 3",NA,no,mexico,yes,no,10,no
NA,10.1111/cdev.13348,13348,11,13.09.2022,research article,Child Development,2020,"2020, 6",847,yes,no,yes,no,"3,4,5",NA,no,norway,yes,no,"24, 43, 14, 22, 66, 45, 7, 65, 35, 28, 94, 21",no
NA,10.1111/cdev.13347,13347,3,13.09.2022,research article,Child Development,2019,"2020, 6",91,no,no,yes,no,"9, 10",NA,no,netherlands,yes,no,85,yes
NA,10.1111/cdev.13346,13346,3,13.09.2022,research article,Child Development,2020,"2020, 5",425,no,no,yes,no,"7, 8, 9, 10",NA,yes,usa,yes,no,211,no
NA,10.1111/cdev.13344,13344,21,13.09.2022,research article,Child Development,2020,"2020, 5",450,yes,no,yes,no,"3, 4, 5, 6",NA,no,usa,yes,yes,"936, 1247, 312, 624",no
NA,10.1111/cdev.13343,13343,17,13.09.2022,research article,Child Development,2020,"2020, 5",375,no,no,yes,no,"6, 7, 8, 9, 10",NA,no,usa,yes,no,1069,yes
NA,10.1111/cdev.13341,13341,10,13.09.2022,research article,Child Development,2020,"2020, 5",202,yes,no,yes,no,NA,"4.87, 0.42; 4.88, 0.60; 4.84, 0.49",yes,usa,yes,no,217,no
NA,10.1111/cdev.13340,13340,5,13.09.2022,research article,Child Development,2020,"2020, 5",274,no,no,yes,no,"5, 7",NA,no,italy,no,no,60,no
